Wol	Jak	KJZ	KJZest

1	2	3.0	7.453283413929753
1000	20	1.2	5006.659017826288
100	30	8.3	702.5785033300423
10000	10	7.82	-1143.4939223518618
10000	20	8.34	-1142.7153659192236
10000	30	8.74	-1141.929882294374
10000	40	9.04	-1141.1375080149608
10000	50	9.31	-1140.3382273453574
10000	60	9.62	-1139.5320520872833
10000	70	10.05	-1138.7189861746456
10000	80	10.73	-1137.8990066596555
10000	90	11.77	-1137.0721500799607
10000	100	13.34	-1136.2383644603108
100000	60	9.43	9.382325367268502
100000	10	7.63	7.630725447901064
100000	20	8.15	8.151553244274552
100000	30	8.55	8.54493963439804
0	1	1.0	0.10880530864124438
100000	40	8.85	8.860567235459026
100000	50	9.12	9.122361828707515
100000	60	9.43	9.382325367268502
100000	70	9.86	9.814224940985738
100000	80	10.54	10.613067874077977
100000	90	11.58	11.785018717326466
100000	100	13.15	13.147582353543703
120000	100	13.27	198.4882428601703
150000	100	13.51	17.396145241203932
150000	90	11.94	16.348645081549193
150000	80	10.9	15.302365625019455
150000	70	10.22	14.256574449739716
150000	60	9.79	13.21224811820998
150000	50	9.48	12.166945224180242
150000	40	9.21	11.122374752025504
150000	30	8.91	10.077804279870767
150000	20	8.51	9.03323380771603
150000	10	7.99	7.9898840386862915
150000	1	7.39	7.051455184059527
75000	50	9.03	16.2618438126045
75000	10	7.54	13.342076328282424
75000	20	8.06	14.070942454734038
75000	30	8.46	14.800632555795024
75000	40	8.76	15.530871973262261
75000	60	9.34	16.993639626556114
75000	70	9.77	17.726167862382724
75000	80	10.45	18.459489555240587
75000	90	11.49	19.1934826348172
75000	100	13.06	19.92836072415944
175000	100	13.74	32.906168872534046
175000	90	12.17	31.858912853504307
175000	80	11.13	30.81263339697457
175000	70	10.45	29.76684222169483
175000	60	10.02	28.721051046415095
175000	50	9.71	27.676236433635356
175000	40	9.44	26.630933539605618
17500	20	8.74	6.26113349449865
175000	10	8.22	23.497466263766405
10000	50	9.31	-1140.3382273453574
200000	10	8.46	15.807050442029727
200000	20	8.98	16.852841617309466
200000	30	9.38	17.8971679488392
200000	40	9.68	18.94295912411894
200000	50	9.95	19.985820611898678
0	0	0.0	0.0020072830883188786
200000	60	10.26	21.034541474678417
200000	70	10.69	22.07837952495815
200000	80	11.37	23.12368241898789
200000	90	12.41	24.17093843801763
200000	100	13.98	25.216729613297368
20000	100	13.23	10.130131328929428
20000	90	11.66	9.352181969598178
20000	90	11.66	9.352181969598178
20000	80	10.62	8.57655862192464
20000	70	9.94	7.803256994374395
20000	60	9.51	7.032281378481864
20000	50	9.2	6.263624621689676
20000	40	8.93	5.4972790946032974
20000	30	8.63	4.733248611919995
20000	20	8.23	3.971542233545775
20000	10	7.71	3.2121380249713596
30000	10	7.63	7.501556451182701
30000	20	8.15	8.321666321530799
30000	30	8.55	9.143172371078114
30000	40	8.85	9.966032638154726
30000	50	9.12	10.790290991779191
30000	60	9.43	11.615913099676115
30000	70	9.86	12.44291231328593
30000	80	10.54	13.271292447305903
30000	90	11.58	14.101045872341501
30000	100	13.15	14.932166866346824
40000	100	13.09	15.881723422775258
40000	90	11.52	14.952669613218177
40000	80	10.48	14.02502342695211
40000	70	9.8	13.098849713830575
40000	60	9.37	12.174102697486385
40000	50	9.06	11.250805266103132
40000	40	8.79	10.328957419680815
